components;Segment Number;Segment Diameter;Energy Parameter
oxetane;2.102;3.433;295.43
o-xylene;3.136;3.76;291.05
p-bromotoluene;3.348;3.708;308.97
p-dinitrobenzene;6.416;3.043;283.69
p-dioxane;2.972;3.376;275.88
pentadecane;6.286;3.953;254.14
pentane;2.69;3.773;231.2
pentyl acetate;4.708;3.473;234.57
perfluorobenzene;3.29;3.56;239.92
perfluoro-n-hexane;4.967;3.617;171.45
perfluoro-n-nonane;5.985;3.843;188.62
perfluorotoluene;4.408;3.449;215.95
propadiene;1.551;3.708;257.73
propanal;2.676;3.263;251.89
propane;2.002;3.618;208.11
propionic anhydride;4.814;3.322;244.8
propionitrile;2.662;3.34;294.08
propyl benzoate;4.666;3.653;281.56
propylcyclohexane;3.278;4.05;285.91
propylcyclopentane;3.264;3.904;270.48
propylene;1.96;3.536;207.19
p-tert-butylstyrene;3.862;4.049;303.56
p-tolualdehyde;4.17;3.426;289.34
p-xylene;3.172;3.778;283.77
pyrazine;2.161;3.576;352.6
pyrene;3.76;4.157;421.04
pyridazine;2.668;3.419;387.69
pyridine;2.708;3.447;304.12
pyrimidine;2.449;3.67;327.23
sec-butyl acetate;4.142;3.474;228.31
silane;1.236;3.894;191.99
sulfur dioxide;2.861;2.683;205.35
terephthaldehyde;5.157;3.109;286.91
tert-butylbenzene;3.446;3.967;287.79
tetrachloro silane;2.73;3.768;246.27
tetracosane;9.684;3.971;254.69
tetradecane;5.9;3.94;254.21
tetraethyl silane;3.743;4.072;259.04
tetrahydrofuran;2.437;3.532;279.52
tetrahydropyran;2.621;3.668;281.5
tetrahydrothiophene;2.414;3.683;326.74
tetralin;3.313;3.875;325.07
tetramethyl silane;2.744;3.915;217.89
thiacyclohexane;2.597;3.795;326.98
thiazole;2.787;3.267;305.19
thietane;2.454;3.517;304.67
thiophene;2.497;3.54;291.442
thiophenol;3.289;3.49;307.05
toluene;2.815;3.717;285.69
trans-decahydronaphthalene;2.948;4.237;325.91
trichlormethan;2.53;3.461;269.470007
trichloro silane;2.489;3.689;241.65
tridecane;5.688;3.914;249.78
trimethyl chlorosilane;2.908;3.812;235.77
trimethyl silane;2.237;3.996;230.66
trinitromethane;4.098;3.229;290.53
undecane;4.908;3.889;248.82
vinyl acetate;3.467;3.467;231.45
vinyl methyl ether;2.708;3.243;215.05
vinylcyclohexene;2.846;3.973;291.41
